Area_Name,Year,,Sub_Group_Name,PT_1_3_Years,PT_3_5_Years,PT_5_10_Years,PT_6_12_Months,PT_Less_than_6_Months,,PT_Total
Lakshadweep,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),33,12,2,18,9,NULL,41
Madhya Pradesh,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),33564,18387,8230,25238,24363,2502,78720
Maharashtra,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),21948,22454,15058,7074,2806,4933,52325
Manipur,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6,7,4,2,2,5,20
Meghalaya,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),211,198,48,34,9,39,328
Mizoram,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),119,19,NULL,358,1093,NULL,1470
Nagaland,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),130,94,34,148,101,59,436
Odisha,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),10141,6116,3369,3812,1339,740,15376
Puducherry,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),526,293,16,943,585,5,1842
Punjab,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8262,4295,1648,3020,1408,293,10664
Rajasthan,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),20075,16686,7628,9712,4148,2222,40396
Sikkim,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),203,7,NULL,115,10,NULL,132
Tamil Nadu,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),33188,14911,4701,31923,23711,1113,76359
Tripura,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1242,391,79,378,0,12,860
Uttar Pradesh,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),36636,33825,21224,3422,597,5019,64087
Uttarakhand,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1882,558,247,901,405,58,2169
West Bengal,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),5165,4280,3454,2940,6207,1712,18593
